A településrészek részletes adatai,,,,,,,,,,
,,,,,,,,,,
Helység KSH kód,Helység hivatalos megnevezése,Vármegye megnevezése,Településrész megnevezése,Településrész jelleg kód,Postai irányító-szám,A külterület települési jellege,A településrész távolsága a központi belterülettől,A népszámlálási lakónépesség,A lakások száma,Lakott egyéb lakóegységek száma
02273,Abaújvár,Borsod-Abaúj-Zemplén,Központi belterület,00,3898,,,208,138,0
11882,Abda,Győr-Moson-Sopron,Káptalanmajor,02,9151,Mgl.,3.0,13,6,0
11882,Abda,Győr-Moson-Sopron,Központi belterület,00,9151,,,"3,198","1,195",0
11882,Abda,Győr-Moson-Sopron,Németh-gátőrház,02,9151,Őh.,3.0,10,3,0
11882,Abda,Győr-Moson-Sopron,Pillingérpuszta,02,9151,Bá.,4.0,19,12,0
11882,Abda,Győr-Moson-Sopron,Virágkertészet,02,9151,Kt.,4.0,,,
10357,Abod,Borsod-Abaúj-Zemplén,Görögtanya,02,3753,Kt.,3.0,,,
10357,Abod,Borsod-Abaúj-Zemplén,Iváncsótanya,02,3752,Mgl.,4.2,1,1,0
10357,Abod,Borsod-Abaúj-Zemplén,Királykút,02,3753,Mgl.,3.5,3,9,0
10357,Abod,Borsod-Abaúj-Zemplén,Központi belterület,00,3753,,,127,118,0
27872,Abony,Pest,Balháspartdűlő,02,2740,Lh.,4.0,11,6,0
27872,Abony,Pest,Belsőerdődűlő,02,2740,Lh.,2.5,57,28,0
27872,Abony,Pest,Buzgánydűlő,02,2740,Lh.,2.0,24,12,0
27872,Abony,Pest,Csordakútdűlő,02,2740,Lh.,6.5,,1,0
27872,Abony,Pest,Csücsökdűlő,02,2740,Lh.,6.0,,,
27872,Abony,Pest,Darabosdűlő,02,2740,Lh.,4.0,16,9,0
27872,Abony,Pest,Dohányosdűlő,02,2740,Lh.,4.0,,,
27872,Abony,Pest,Feketehalomdűlő,02,2740,Lh.,4.0,,1,0
27872,Abony,Pest,Füzesérdűlő,02,2740,Mgl.,3.5,5,1,0
27872,Abony,Pest,Gereceszékdűlő,02,2740,Lh.,5.0,,1,0
27872,Abony,Pest,Hegyesdűlő,02,2740,Lh.,6.0,4,7,0
27872,Abony,Pest,Kerektódűlő,02,2740,Lh.,5.5,44,34,0
27872,Abony,Pest,Kisbalatondűlő,02,2740,Lh.,5.0,1,5,0
27872,Abony,Pest,Kospartdűlő,02,2740,Lh.,3.5,2,1,0
27872,Abony,Pest,Központi belterület,00,2740,,,"14,146","5,614",1
27872,Abony,Pest,Lengenádasdűlő,02,2740,Lh.,3.5,,,
27872,Abony,Pest,Lóherésdűlő,02,2740,Lh.,2.0,,,
27872,Abony,Pest,Mikelakadűlő,02,2740,Lh.,4.5,,3,0
27872,Abony,Pest,Muszájerdődűlő,02,2740,Lh.,7.0,,,
27872,Abony,Pest,Piócásdűlő,02,2740,Mgl.,2.5,2,1,0
27872,Abony,Pest,Rókalyukasdűlő,02,2740,Lh.,7.0,,,
27872,Abony,Pest,Rózsásdűlő,02,2740,Lh.,2.5,11,4,0
27872,Abony,Pest,Sarokhatárdűlő,02,2740,Lh.,6.5,,,
27872,Abony,Pest,Sashalomdűlő,02,2740,Mgl.,5.0,28,13,0
27872,Abony,Pest,Székdűlő,02,2740,Lh.,4.0,4,3,0
27872,Abony,Pest,Táborhegydűlő,02,2740,Lh.,3.0,286,118,0
27872,Abony,Pest,Tatárhányásdűlő,02,2740,Lh.,2.5,,2,0
27872,Abony,Pest,Tavasdűlő,02,2740,Lh.,5.0,,,
27872,Abony,Pest,Telelőpartdűlő,02,2740,Lh.,4.0,,1,0
27872,Abony,Pest,Temetődűlő,02,2740,Lh.,2.5,104,38,0
27872,Abony,Pest,Tótgyurkaszékdűlő,02,2740,Mgl.,3.5,1,1,0
27872,Abony,Pest,Turjánosdűlő,02,2740,Lh.,2.0,1,3,0
27872,Abony,Pest,Vasútdűlő,02,2740,Lh.,2.0,94,45,0
27872,Abony,Pest,Világosdűlő,02,2740,Lh.,4.0,,,
27872,Abony,Pest,Zsombékosdűlő,02,2740,Lh.,4.0,,1,0
04561,Ábrahámhegy,Veszprém,Ábrahámiszőlők,02,8256,Üd.,1.0,,,
04561,Ábrahámhegy,Veszprém,Bagolyvár,02,8256,Üd.,3.0,2,1,0
04561,Ábrahámhegy,Veszprém,Kápolnavölgy,01,8256,,1.5,14,8,0
04561,Ábrahámhegy,Veszprém,Kisörspuszta,01,8256,,1.5,3,3,0
04561,Ábrahámhegy,Veszprém,Körmicdűlő,02,8256,Üd.,0.2,27,18,0
04561,Ábrahámhegy,Veszprém,Központi belterület,00,8256,,,479,361,1
04561,Ábrahámhegy,Veszprém,Rendesihegy,02,8256,Üd.,3.2,,,
04561,Ábrahámhegy,Veszprém,Szilvádihegy,02,8256,Üd.,3.5,,,
04561,Ábrahámhegy,Veszprém,Vasúti őrház,02,8256,Forg.,2.0,,,
04428,Ács,Komárom-Esztergom,Concóhát,02,2941,Mgl.,1.1,5,2,0
04428,Ács,Komárom-Esztergom,Csabaitanya,02,2941,Kt.,0.5,8,2,0
04428,Ács,Komárom-Esztergom,Ernőmajor,02,2941,Mgl.,5.0,,1,0
04428,Ács,Komárom-Esztergom,Felsőszőlő,02,2941,Lh.,2.5,85,55,0
04428,Ács,Komárom-Esztergom,Hosszúhegy,02,2941,Mgl.,3.8,48,25,0
04428,Ács,Komárom-Esztergom,Jegespuszta,02,2941,Mgl.,1.0,58,23,0
04428,Ács,Komárom-Esztergom,Kalinatanya,02,2941,Mgl.,0.2,,,
04428,Ács,Komárom-Esztergom,Kerülőház,02,2941,Kt.,3.0,,,
04428,Ács,Komárom-Esztergom,Kocsistanya,02,2941,Kt.,0.6,,,
04428,Ács,Komárom-Esztergom,Központi belterület,00,2941,,,"6,620","2,669",0
04428,Ács,Komárom-Esztergom,Likócsszőlők,02,2941,Mgl.,1.5,4,2,0
04428,Ács,Komárom-Esztergom,Mallertanya,02,2941,Mgl.,6.0,,,
04428,Ács,Komárom-Esztergom,Rózsatanya,02,2941,Mgl.,0.2,,,
04428,Ács,Komárom-Esztergom,Tóthtanya,02,2941,Mgl.,0.7,,,
04428,Ács,Komárom-Esztergom,Újmajor,02,2941,Mgl.,1.5,,,
04428,Ács,Komárom-Esztergom,Vaspuszta,02,2941,Mgl.,8.0,,,
04428,Ács,Komárom-Esztergom,Vörösmajor,02,2941,Mgl.,1.0,3,1,0
18573,Acsa,Pest,Acsaújlak,02,2683,Mgl.,2.4,44,18,0
18573,Acsa,Pest,Központi belterület,00,2683,,,"1,229",456,0
18573,Acsa,Pest,Magosi erdészlak,02,2683,Őh.,1.0,3,1,0
07214,Acsád,Vas,Ablánccsárda,02,9746,Kt.,3.0,,,
07214,Acsád,Vas,Acsád vasútállomás,02,9746,Forg.,2.8,,,
07214,Acsád,Vas,Központi belterület,00,9746,,,624,187,0
07214,Acsád,Vas,Lovastanya,02,9746,Ki.,1.0,1,1,0
07214,Acsád,Vas,Vasúti őrházak,02,9746,Forg.,2.7,,1,0
33385,Acsalag,Győr-Moson-Sopron,Központi belterület,00,9168,,,481,223,0
18139,Ácsteszér,Komárom-Esztergom,Ácsteszéri,02,2887,Mgl.,3.5,6,4,0
18139,Ácsteszér,Komárom-Esztergom,Barkatanya,02,2862,Mgl.,0.2,5,1,0
18139,Ácsteszér,Komárom-Esztergom,Központi belterület,00,2887,,,613,229,0
18139,Ácsteszér,Komárom-Esztergom,Kültelek,02,2887,Lh.,1.5,11,5,0
23241,Adács,Heves,Ipartelep,02,3292,Ipt.,0.5,5,1,0
23241,Adács,Heves,Központi belterület,00,3292,,,"2,550","1,190",0
23241,Adács,Heves,Nagyfügedi úti tanyák,02,3292,Mgl.,2.0,3,2,0
06080,Ádánd,Somogy,Központi belterület,00,8653,,,"2,139",832,0
06080,Ádánd,Somogy,Vaskeresztmajor,02,8653,Lh.,2.4,,,
07302,Adásztevel,Veszprém,Központi belterület,00,8561,,,766,320,0
07302,Adásztevel,Veszprém,Szőlőhegy,02,8561,Lh.,1.5,,,
08925,Adony,Fejér,Adony vasútállomás,02,2457,Forg.,2.0,,,
08925,Adony,Fejér,Dajapuszta,02,2457,Kt.,9.0,10,3,0
08925,Adony,Fejér,Központi belterület,00,2457,,,"3,675","1,473",0
08925,Adony,Fejér,Líviamajor,02,2457,Kt.,4.0,3,3,0
08925,Adony,Fejér,Marcinkatanya,02,2457,Mgl.,2.5,,,
08925,Adony,Fejér,Rév,01,2457,,2.5,47,26,0
08925,Adony,Fejér,Szivattyútelep,02,2457,Üszl.,2.0,1,1,0
08925,Adony,Fejér,Szőlőhegy,02,2457,Mgl.,7.0,298,162,0
08925,Adony,Fejér,Tóthtanyák,02,2457,Mgl.,1.5,6,3,0
08925,Adony,Fejér,Útőrház,02,2457,Őh.,6.0,3,1,0
31307,Adorjánháza,Veszprém,Központi belterület,00,8497,,,356,197,0
06868,Adorjás,Baranya,Központi belterület,00,7841,,,151,57,0
06868,Adorjás,Baranya,Mogyorócska,02,7841,Mgl.,1.5,3,2,0
25812,Ág,Baranya,Központi belterület,00,7381,,,147,66,0
17686,Ágasegyháza,Bács-Kiskun,Bajcsy-Zsilinszky út külterülete,02,6076,Mgl.,3.0,34,14,0
17686,Ágasegyháza,Bács-Kiskun,Galambháza,02,6076,Mgl.,8.0,58,52,0
17686,Ágasegyháza,Bács-Kiskun,Kossuth út külterülete,02,6076,Lh.,2.0,55,31,0
17686,Ágasegyháza,Bács-Kiskun,Központi belterület,00,6076,,,"1,440",573,0
17686,Ágasegyháza,Bács-Kiskun,Sándortelep,02,6076,Mgl.,5.0,139,117,0
17686,Ágasegyháza,Bács-Kiskun,Zsombosdűlő,02,6076,Mgl.,6.0,157,101,0
04880,Ágfalva,Győr-Moson-Sopron,Ágfalvaliget,01,9423,,0.1,131,,
04880,Ágfalva,Győr-Moson-Sopron,Fehér út,02,9423,Kt.,8.0,,,
04880,Ágfalva,Győr-Moson-Sopron,Hidegvízvölgy,02,9423,Üd.,6.0,9,6,0
04880,Ágfalva,Győr-Moson-Sopron,Központi belterület,00,9423,,,"2,317",853,1
04880,Ágfalva,Győr-Moson-Sopron,Külterület,02,9423,Üd.,0.5,7,3,0
09362,Aggtelek,Borsod-Abaúj-Zemplén,Almásvölgyi erdészlak,02,3759,Őh.,1.0,,,
09362,Aggtelek,Borsod-Abaúj-Zemplén,Központi belterület,00,3759,,,480,241,0
09362,Aggtelek,Borsod-Abaúj-Zemplén,Szelcepuszta,02,3759,Szál.,19.0,,,
29407,Agyagosszergény,Győr-Moson-Sopron,Központi belterület,00,9441,,,959,385,0
08776,Ajak,Szabolcs-Szatmár-Bereg,Csépketanya,02,4524,Mgl.,3.0,,,
08776,Ajak,Szabolcs-Szatmár-Bereg,Görömbelyitanya,02,4524,Mgl.,2.5,1,1,0
08776,Ajak,Szabolcs-Szatmár-Bereg,Központi belterület,00,4524,,,"3,300","1,285",0
06673,Ajka,Veszprém,Ajkarendek,01,8447,,4.0,"1,119",402,0
06673,Ajka,Veszprém,Bakonygyepes,01,8448,,4.3,"1,060",401,0
06673,Ajka,Veszprém,Élmunkástelep,02,8400,Ipt.,3.0,44,21,0
06673,Ajka,Veszprém,Kisberéndpuszta,02,8400,Mgl.,6.8,,,
06673,Ajka,Veszprém,Központi belterület,00,8400,,,"21,767","10,897",0
06673,Ajka,Veszprém,Lőrinteivíztároló,02,8451,Kt.,9.2,,,
06673,Ajka,Veszprém,Padragkút,01,8451,,8.0,"2,687","1,143",0
06673,Ajka,Veszprém,Pálmajor,02,8400,Mgl.,2.0,28,6,0
06673,Ajka,Veszprém,Vasúti őrház,02,8400,Forg.,5.7,,,
06682,Aka,Komárom-Esztergom,Farkastorok,02,2862,Mgl.,3.5,1,2,0
06682,Aka,Komárom-Esztergom,Központi belterület,00,2862,,,236,123,0
21944,Akasztó,Bács-Kiskun,Döbrögec,02,6221,Mgl.,4.0,32,30,0
21944,Akasztó,Bács-Kiskun,Kígyóshíd,02,6221,Mgl.,1.0,18,8,0
21944,Akasztó,Bács-Kiskun,Központi belterület,00,6221,,,"3,115","1,495",0
33093,Alacska,Borsod-Abaúj-Zemplén,Bányatelep,02,3779,Lh.,1.5,,,
33093,Alacska,Borsod-Abaúj-Zemplén,Központi belterület,00,3779,,,656,267,0
33093,Alacska,Borsod-Abaúj-Zemplén,Külterület,02,3779,Mgl.,0.5,,,
26824,Alap,Fejér,Alpek-tanya,02,7011,Mgl.,3.5,1,1,0
26824,Alap,Fejér,Aranykülsőtanya,02,7011,Szo.,4.0,96,1,0
26824,Alap,Fejér,Fő út vége,02,7011,Lh.,1.5,2,2,0
26824,Alap,Fejér,Kazsokitanya,02,7011,Mgl.,1.0,,,
26824,Alap,Fejér,Központi belterület,00,7011,,,"1,725",830,0
26824,Alap,Fejér,Réhpuszta,02,7011,Mgl.,7.0,16,11,0
26824,Alap,Fejér,Sörkedűlők,02,7011,Mgl.,1.5,1,1,0
26824,Alap,Fejér,Vancsaytanya,02,7011,Mgl.,3.0,5,2,0
25265,Alattyán,Jász-Nagykun-Szolnok,Iskoladűlő,02,5142,Mgl.,0.1,1,1,0
25265,Alattyán,Jász-Nagykun-Szolnok,Központi belterület,00,5142,,,"2,095",880,0
25265,Alattyán,Jász-Nagykun-Szolnok,Szaktelep,02,5142,Mgl.,1.0,1,1,0
25265,Alattyán,Jász-Nagykun-Szolnok,Túlátitanyák,02,5142,Mgl.,1.0,3,3,0
31653,Albertirsa,Pest,Bicskei úti újtelep,02,2730,Lh.,2.0,242,82,0
31653,Albertirsa,Pest,Feketerész,02,2730,Mgl.,5.0,146,57,0
31653,Albertirsa,Pest,I. Homokrész,02,2730,Lh.,6.0,369,143,0
31653,Albertirsa,Pest,II. Homokrész,02,2730,Lh.,5.0,432,185,0
31653,Albertirsa,Pest,III. külterület,02,2730,Lh.,3.5,62,24,0
31653,Albertirsa,Pest,IV. külterület,02,2730,Lh.,3.0,124,65,0
31653,Albertirsa,Pest,Központi belterület,00,2730,,,"11,512","4,409",0
31653,Albertirsa,Pest,Üdülőtelep,02,2730,Üd.,3.0,610,252,0
15176,Alcsútdoboz,Fejér,Göböljárás,02,8087,Mgl.,8.5,72,52,0
15176,Alcsútdoboz,Fejér,Hatvanpuszta,02,8087,Kt.,4.3,,,
15176,Alcsútdoboz,Fejér,Kastély,02,8087,Mgl.,1.5,20,7,0
15176,Alcsútdoboz,Fejér,Központi belterület,00,8087,,,"1,370",466,0
15176,Alcsútdoboz,Fejér,Máriavölgy,02,8087,Kt.,2.5,,,
15176,Alcsútdoboz,Fejér,Petőfi-lakótelep,02,8087,Lh.,3.0,7,20,0
15176,Alcsútdoboz,Fejér,Szentgyörgypuszta,02,8087,Mgl.,2.0,,1,0
15176,Alcsútdoboz,Fejér,Szőlőhegy,02,8087,Mgl.,1.0,70,29,0
15176,Alcsútdoboz,Fejér,Vértpuszta,02,8087,Mgl.,9.5,,,
06345,Aldebrő,Heves,Erzsébet tér,02,3355,Kt.,7.0,,,
06345,Aldebrő,Heves,Központi belterület,00,3353,,,689,347,0
34245,Algyő,Csongrád-Csanád,Csergőtelep,02,6750,Lh.,4.0,8,4,0
34245,Algyő,Csongrád-Csanád,Farkirét,02,6750,Mgl.,7.0,31,15,0
34245,Algyő,Csongrád-Csanád,Gyevitanyák,02,6750,Mgl.,6.0,80,36,0
34245,Algyő,Csongrád-Csanád,Irmamajor,02,6750,Mgl.,5.0,2,1,0
34245,Algyő,Csongrád-Csanád,Központi belterület,00,6750,,,"5,024","1,962",0
34245,Algyő,Csongrád-Csanád,Nagyfa,02,6750,Mgl.,9.0,726,51,0
34245,Algyő,Csongrád-Csanád,Rákóczitelep,02,6750,Lh.,2.0,27,12,1
02644,Alibánfa,Zala,Központi belterület,00,8921,,,415,171,0
02644,Alibánfa,Zala,Vasúti őrházak,02,8921,Forg.,1.0,,,
13329,Almamellék,Baranya,Almamellék őrház,02,7934,Mgl.,0.5,5,2,0
13329,Almamellék,Baranya,Almamellék vasútállomás,02,7934,Mgl.,1.0,1,1,0
13329,Almamellék,Baranya,Korcsánypuszta,02,7936,Mgl.,3.0,6,7,0
13329,Almamellék,Baranya,Központi belterület,00,7934,,,372,150,0
13329,Almamellék,Baranya,Rózsahegy,02,7934,Mgl.,2.0,,3,0
13329,Almamellék,Baranya,Sasrétpuszta,02,7937,Mgl.,6.5,6,6,0
13329,Almamellék,Baranya,Szentegyedpuszta,02,7934,Kt.,3.0,,,
13329,Almamellék,Baranya,Szentmártonpuszta,02,7935,Szál.,2.3,4,1,0
32346,Almásfüzitő,Komárom-Esztergom,Gátőrház,02,2931,Őh.,2.0,4,1,0
32346,Almásfüzitő,Komárom-Esztergom,Kiskolónia,01,2931,,3.5,701,371,0
32346,Almásfüzitő,Komárom-Esztergom,Központi belterület,00,2931,,,"1,386",747,0
23384,Almásháza,Zala,Központi belterület,00,8935,,,72,39,0
23384,Almásháza,Zala,Zártkert,01,8935,,0.5,1,1,0
29595,Almáskamarás,Békés,Központi belterület,00,5747,,,716,422,0
29595,Almáskamarás,Békés,Kunágotai út,02,5747,Mgl.,0.5,,,
29595,Almáskamarás,Békés,Nagykamarási út,02,5747,Mgl.,0.5,,,
20376,Almáskeresztúr,Baranya,Elekmajor,02,7932,Mgl.,4.0,1,1,0
20376,Almáskeresztúr,Baranya,Központi belterület,00,7932,,,73,50,0
20376,Almáskeresztúr,Baranya,Szőlőhegy,02,7932,Mgl.,1.0,,,
27641,Álmosd,Hajdú-Bihar,Biharitanya,02,4285,Lh.,3.0,6,1,0
27641,Álmosd,Hajdú-Bihar,Központi belterület,00,4285,,,"1,609",672,0
27641,Álmosd,Hajdú-Bihar,Szőlőskerttanya,02,4285,Lh.,2.0,,1,0
20482,Alsóberecki,Borsod-Abaúj-Zemplén,Központi belterület,00,3985,,,682,279,0
20482,Alsóberecki,Borsod-Abaúj-Zemplén,Zsarótanya,02,3985,Mgl.,2.0,2,1,0
34184,Alsóbogát,Somogy,Alsóbogátpuszta,02,7443,Kt.,1.5,3,1,0
34184,Alsóbogát,Somogy,Központi belterület,00,7443,,,218,97,0
19664,Alsódobsza,Borsod-Abaúj-Zemplén,Központi belterület,00,3717,,,279,137,0
14429,Alsógagy,Borsod-Abaúj-Zemplén,Központi belterület,00,3837,,,89,51,0
17385,Alsómocsolád,Baranya,Alsómocsoládi utca,02,7345,Kt.,2.6,2,1,0
17385,Alsómocsolád,Baranya,Központi belterület,00,7345,,,281,133,0
17385,Alsómocsolád,Baranya,Mágocs-Alsómocsolád vasútállomás,02,7345,Forg.,2.6,,,
29665,Alsónána,Tolna,Kislajvér,02,7147,Lh.,3.5,2,2,0
29665,Alsónána,Tolna,Központi belterület,00,7147,,,658,272,0
29665,Alsónána,Tolna,Mausz,02,7147,Kt.,8.0,,,
29665,Alsónána,Tolna,Pincesor,01,7147,,2.0,13,7,0
23199,Alsónémedi,Pest,Felsőráda,02,2364,Mgl.,6.0,28,16,0
23199,Alsónémedi,Pest,Fő úti erdő,02,2351,Mgl.,2.0,39,15,0
23199,Alsónémedi,Pest,Központi belterület,00,2351,,,"5,535","2,121",1
23199,Alsónémedi,Pest,Tsz-tanya,02,2351,Kt.,2.5,4,3,0
19512,Alsónemesapáti,Zala,Avashegy,02,8924,Mgl.,1.5,18,5,0
19512,Alsónemesapáti,Zala,Csönkölejhegy,02,8924,Mgl.,2.5,2,1,0
19512,Alsónemesapáti,Zala,Hármastanya,02,8924,Mgl.,2.0,11,4,0
19512,Alsónemesapáti,Zala,Központi belterület,00,8924,,,627,262,0
19512,Alsónemesapáti,Zala,Nagykapornak vasútállomás,02,8925,Forg.,2.0,1,2,0
19512,Alsónemesapáti,Zala,ZÁÉV-telep,02,8925,Üszl.,2.0,,,
11563,Alsónyék,Tolna,49-es MÁV-őrház,02,7140,Kt.,0.5,,,
11563,Alsónyék,Tolna,Alsónyékitanyák,02,7140,Lh.,4.0,9,3,0
11563,Alsónyék,Tolna,Betekintspuszta,02,7140,Kt.,2.3,,,
11563,Alsónyék,Tolna,Csikómajor,02,7148,Mgl.,1.5,,1,0
11563,Alsónyék,Tolna,Központi belterület,00,7148,,,627,276,0
11563,Alsónyék,Tolna,Nyékipuszta,02,7148,Mgl.,2.0,17,14,0
11563,Alsónyék,Tolna,Szőlőhegy,02,7148,Lh.,4.7,17,7,0
30526,Alsóörs,Veszprém,Halacs,02,8226,Üd.,3.0,1,2,0
30526,Alsóörs,Veszprém,Kermencsidűlő,02,8226,Üd.,1.5,15,6,0
30526,Alsóörs,Veszprém,Középmálidűlő,02,8226,Üd.,1.5,36,26,0
30526,Alsóörs,Veszprém,Központi belterület,00,8226,,,"1,783",961,0
30526,Alsóörs,Veszprém,Szabadságkilátó,02,8226,Kt.,4.0,1,1,0
32081,Alsópáhok,Zala,Gizellamajor,02,8394,Mgl.,3.0,,,
32081,Alsópáhok,Zala,Kemping,02,8394,Kt.,0.5,32,35,0
32081,Alsópáhok,Zala,Központi belterület,00,8394,,,"1,200",591,0
32081,Alsópáhok,Zala,Kültelek,02,8394,Mgl.,1.0,,,
32081,Alsópáhok,Zala,Nemesboldogasszonyfa,01,8394,,2.0,145,59,0
32081,Alsópáhok,Zala,Szőlőhegy,02,8394,Mgl.,1.0,112,160,0
16425,Alsópetény,Nógrád,Központi belterület,00,2617,,,572,303,0
18829,Alsórajk,Zala,Gyömölcsköz,02,8768,Kt.,3.0,,,
18829,Alsórajk,Zala,Kisfaludiút,02,8768,Kt.,3.0,,,
18829,Alsórajk,Zala,Központi belterület,00,8767,,,342,165,0
18829,Alsórajk,Zala,Külterület,02,8767,Mgl.,0.5,,,
18829,Alsórajk,Zala,Szőlőskertút,02,8768,Kt.,3.0,,,
23223,Alsóregmec,Borsod-Abaúj-Zemplén,Fedormalom,02,3989,Mgl.,1.0,,1,0
23223,Alsóregmec,Borsod-Abaúj-Zemplén,Központi belterület,00,3989,,,190,87,0
08767,Alsószenterzsébet,Zala,Központi belterület,00,8973,,,45,39,0
25283,Alsószentiván,Fejér,Dózsatelep,02,7012,Mgl.,3.0,7,3,0
25283,Alsószentiván,Fejér,Kiserdő,02,7012,Lh.,7.0,1,1,0
25283,Alsószentiván,Fejér,Központi belterület,00,7012,,,515,274,0
25283,Alsószentiván,Fejér,Rákóczitelep,02,7012,Kt.,1.5,,,
25283,Alsószentiván,Fejér,Szabadságtelep,02,7012,Lh.,4.0,7,3,0
33279,Alsószentmárton,Baranya,Gyűrűspuszta,02,7800,Lh.,7.0,2,2,0
33279,Alsószentmárton,Baranya,Központi belterület,00,7826,,,"1,124",290,0
22549,Alsószölnök,Vas,Alsószölnökitanyák,02,9983,Lh.,3.0,16,15,0
22549,Alsószölnök,Vas,Központi belterület,00,9983,,,316,157,0
28839,Alsószuha,Borsod-Abaúj-Zemplén,Központi belterület,00,3726,,,402,164,0
28839,Alsószuha,Borsod-Abaúj-Zemplén,Külterület,02,3726,Mgl.,1.0,,,
28839,Alsószuha,Borsod-Abaúj-Zemplén,Rónyapuszta,02,3726,Mgl.,2.5,4,1,0
08217,Alsótelekes,Borsod-Abaúj-Zemplén,Központi belterület,00,3735,,,121,93,0
07621,Alsótold,Nógrád,Agor-park,02,3069,Mgl.,1.0,12,4,0
07621,Alsótold,Nógrád,Bablevespuszta,02,3069,Mgl.,1.5,,,
07621,Alsótold,Nógrád,Központi belterület,00,3069,,,207,109,0
22725,Alsóújlak,Vas,Kishegy,02,9842,Lh.,1.0,,,
22725,Alsóújlak,Vas,Koponyás,02,9841,Lh.,3.0,,,
22725,Alsóújlak,Vas,Központi belterület,00,9842,,,521,269,0
22725,Alsóújlak,Vas,Öreghegy,02,9842,Lh.,1.0,3,2,1
22725,Alsóújlak,Vas,Táncsics Mihály utca,01,9825,,2.0,13,12,0
29814,Alsóvadász,Borsod-Abaúj-Zemplén,Központi belterület,00,3811,,,"1,454",439,2
21032,Alsózsolca,Borsod-Abaúj-Zemplén,Cinegéstanya 1.,02,3571,Mgl.,2.0,,1,0
21032,Alsózsolca,Borsod-Abaúj-Zemplén,Cinegéstanya 2.,02,3571,Mgl.,1.5,4,1,0
21032,Alsózsolca,Borsod-Abaúj-Zemplén,ÉVIZIG-telep,02,3571,Kt.,2.9,,,
21032,Alsózsolca,Borsod-Abaúj-Zemplén,Gyár utca,02,3571,Ipt.,2.7,,,
21032,Alsózsolca,Borsod-Abaúj-Zemplén,Kavicsostó,02,3571,Üd.,4.5,81,52,0
21032,Alsózsolca,Borsod-Abaúj-Zemplén,Kemeierdő,02,3571,Őh.,4.5,,,
