Timestamp,Életkora,Neme,Lakhelyének irányítószáma,Legmagasabb iskolai végzettsége,Hány éve szolgál?,Rendfokozata,Mennyire ismeri vagy használja a drónokat?,Az Ön civil munkaerőpiaci státusza,Az Ön átlagos havi nettó civil keresete (kérjük Magyar Foritban adja meg a kézhez kapott összeget),Az Ön civil munkahelyének mérete (ha alkalmazható),Az Ön civil munkahelyének tulajdonosi jellege (ha alkalmazható),Az Ön civil munkahelyének jogi formája (ha alkalmazható),"A drónok használatával sokkal jobban fel tudjuk deríteni a terepet, és pontosabban látjuk, mi történik körülöttünk.","A drónok megvédik a katonákat, mert nem kell személyesen bemennünk a legveszélyesebb helyzetekbe.","A raj és a szakasz gyorsabban tud dönteni és cselekedni, ha drónok is segítik a feladatot.",A modern eszközök (például a drónok) miatt több fiatal akar majd csatlakozni az önkéntes tartalékosokhoz.,"A jelenlegi, rövid idejű kiképzések alatt nincs elég idő arra, hogy rendesen megtanuljuk a drónok kezelését.","A különböző életkorú katonák nem egyformán értenek a digitális eszközökhöz, és ez gondot okozhat a használat során.","A terepen nehéz megoldani a drónok töltését és folyamatos karbantartását, így nem tudjuk őket megszakítás nélkül használni.",A drónirányítók és a földi csapatok közötti rossz kommunikáció miatt a fontos információk nem jutnak el időben a megfelelő helyre.,A civil életben (hobbiként vagy munkaként) szerzett drónos tudást a sereg nagyon jól és gyorsan tudná használni.,"A drónok miatt új, érdekesebb beosztások jöhetnek létre a tartalékos rendszernél (például drónkezelő).","A civilek jobban elismernék a tartalékosokat, ha látnák, hogy drónokkal segítünk például egy árvízi védekezésben vagy katasztrófánál.",A hazai haditechnikai fejlesztések révén a tartalékosok is könnyebben hozzájuthatnak a legújabb modern eszközökhöz.,Az ellenség zavaróberendezései könnyen használhatatlanná tehetik vagy megzavarhatják az egyszerűbb drónokat a harctéren.,A drónok használata miatt az ellenség könnyebben lehallgathat minket vagy feltörheti a rendszereinket.,"A szigorú légtér- és jogszabályok miatt nehéz lesz engedélyt kapni arra, hogy a terepen, a valóságban is sokat gyakorolhassunk velük.","Ha a katonák túlságosan hozzászoknak a technika nyújtotta kényelemhez, elfelejthetik az alapvető harcászati és tájékozódási szabályokat."
28/07/2026 12:59:24,35,Nő,3768,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Mikrovállalkozás (1–9 fő),Állami-közszféra,EV (Egyéni vállalkozó),7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1
28/07/2026 13:00:35,48,Férfi,3837,Érettségi (középiskola),8,Zászlós ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Nagyvállalat (250+ fő),Állami-közszféra,,7,7,7,5,3,2,4,1,6,6,4,7,5,3,2,2
28/07/2026 13:06:17,39,Férfi,4090,Szakiskola / Szakmunkásképző,2,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,550000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),Nem tudom,7,7,6,3,4,7,4,2,5,7,2,4,4,2,4,6
28/07/2026 13:09:26,51,Nő,3433,Érettségi (középiskola),2,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,430000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,4,7,7,5,5,7,7,7,4,5,4,1,1
28/07/2026 13:15:40,36,Férfi,3534,Érettségi (középiskola),2,Őrmester ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,5,1,4,2,1,5,5,5,4,1,1,1,5,5,2,1
28/07/2026 13:52:23,37,Férfi,4400,Érettségi (középiskola),4,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,540000,Nagyvállalat (250+ fő),Állami-közszféra,,7,7,7,7,5,2,3,4,6,6,6,4,7,4,5,4
28/07/2026 13:58:12,36,Nő,3573,Általános iskola,1,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,350000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,5,7,6,2,5,5,5,6,7,7,7,5,6,6,5
28/07/2026 13:58:51,57,Nő,3321,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",5,Főtörzsőrmester,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,560000,Középvállalkozás (50–249 fő),Állami-közszféra,Iskola,5,5,6,4,6,5,4,6,5,4,3,4,5,4,4,5
28/07/2026 14:04:17,41,Férfi,3971,Általános iskola,6,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Munkanélküli,0,,,,7,7,7,7,4,4,7,7,7,4,7,1,7,7,7,7
28/07/2026 14:05:55,60,Férfi,3762,Érettségi (középiskola),2,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,380000,Középvállalkozás (50–249 fő),Állami-közszféra,Állami közszféra,7,6,6,2,7,6,4,1,7,6,4,6,4,1,1,5
28/07/2026 14:06:58,45,Férfi,3744,Érettségi (középiskola),3,Zászlós,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,200000,,,,7,7,7,5,7,4,5,5,6,7,5,7,7,5,5,4
28/07/2026 14:20:32,47,Nő,3525,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",5,Főhadnagy,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Társas vállalkozó,1200000,Mikrovállalkozás (1–9 fő),Állami-közszféra,KFT (Korlátolt felelősségű társaság),7,7,7,5,4,7,4,4,6,7,5,5,6,5,5,2
28/07/2026 14:38:08,44,Férfi,3434,Szakiskola / Szakmunkásképző,8,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,0,,,,7,7,7,4,7,7,3,3,7,7,1,1,7,7,1,1
28/07/2026 14:47:23,40,Férfi,3922,Érettségi (középiskola),3,Főtörzsőrmester,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,720000,Mikrovállalkozás (1–9 fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,7,5,4,3,1,1,7,6,5,3,6,3,1,1
28/07/2026 14:57:35,26,Férfi,3894,Általános iskola,0,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,0,,,,7,3,4,3,5,4,3,4,4,5,4,5,6,4,5,7
28/07/2026 15:02:04,20,Férfi,3580,Érettségi (középiskola),2,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,7,7,7,5,7,7,4,5,6,7,7,7,6,3,5,7
28/07/2026 15:13:02,42,Férfi,3529,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Százados,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,600000,Mikrovállalkozás (1–9 fő),Állami-közszféra,,7,7,7,7,7,7,3,4,5,7,7,7,7,1,1,6
28/07/2026 15:13:41,44,Férfi,3400,Érettségi (középiskola),5,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,ennek mi köze akármihez....,,,,7,4,7,1,7,7,7,7,5,7,1,4,7,6,7,6
28/07/2026 15:25:32,60,Férfi,3780,Szakiskola / Szakmunkásképző,9,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,380000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,5,7,7,4,3,3,6,7,5,7,7,7,1,7,1
28/07/2026 15:38:53,30,Férfi,3718,Szakiskola / Szakmunkásképző,5,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,375000,Középvállalkozás (50–249 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,5,5,7,3,3,4,7,7,7,5,4,5,3
28/07/2026 15:50:07,45,Nő,3600,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",1,Zászlós,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,450000,Nagyvállalat (250+ fő),Állami-közszféra,,7,7,6,6,6,6,4,4,5,6,6,7,4,4,6,3
28/07/2026 15:53:13,24,Férfi,4183,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,380000,Nagyvállalat (250+ fő),Állami-közszféra,RT (Részvénytársaság),7,7,7,2,7,7,2,3,7,7,4,5,5,3,4,1
28/07/2026 15:55:49,42,Férfi,3700,Érettségi (középiskola),7,Főtörzsőrmester,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,680000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,7,4,7,7,7,4,7,7,7,7,7,4,3,1
28/07/2026 15:58:42,47,Férfi,3530,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",8,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,7,5,6,5,5,6,4,4,6,6,6,5,5,5,5,4
28/07/2026 16:26:05,47,Nő,3770,Érettségi (középiskola),5,Szakaszvezető,Soha nem találkoztam / nem foglalkoztam velük,Alkalmazott / (Köz) Foglalkoztatott / Segítő,387000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,BT (Betéti társaság),7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,2
28/07/2026 16:39:41,21,Férfi,3579,Szakiskola / Szakmunkásképző,2,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,7,4,6,2,3,7,4,3,5,7,7,4,7,7,4,7
28/07/2026 16:58:46,39,Férfi,3530,Érettségi (középiskola),3,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Inaktív,0,,,,6,5,6,4,4,5,3,3,6,6,6,4,5,5,6,5
28/07/2026 17:10:42,41,Nő,3530,Szakiskola / Szakmunkásképző,3,Szakaszvezető,Soha nem találkoztam / nem foglalkoztam velük,Alkalmazott / (Köz) Foglalkoztatott / Segítő,325000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),5,7,7,4,3,3,4,1,1,3,7,6,4,3,5,6
28/07/2026 17:12:05,45,Férfi,3600,Érettségi (középiskola),1,Szakaszvezető,Soha nem találkoztam / nem foglalkoztam velük,Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Kisvállalkozás (10–49 fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,7,3,7,7,5,4,7,7,7,7,7,7,1,1
28/07/2026 18:01:49,58,Férfi,3571,Szakiskola / Szakmunkásképző,2,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,330000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,7,7,4,4,4,4,7,4,7,7,2,7,4,4,7
28/07/2026 18:45:14,49,Férfi,3994,Szakiskola / Szakmunkásképző,2,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,300000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),5,7,7,6,7,7,4,5,7,7,5,7,7,7,5,5
28/07/2026 18:46:27,20,Nő,3800,Érettségi (középiskola),1,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,4,3,4,4,4,4,5,3,4,4,4,4,4,5,5,4
28/07/2026 20:42:25,38,Férfi,3734,Érettségi (középiskola),8,Törzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Egyéni vállalkozó,400000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,7,7,4,6,4,4,3,5,6,5,5,6,5,5,5
28/07/2026 21:51:51,44,Férfi,3441,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,500000,Kisvállalkozás (10–49 fő),Állami-közszféra,,7,7,7,5,7,6,2,5,7,5,4,2,6,2,5,5
28/07/2026 22:04:21,47,Nő,3963,Érettségi (középiskola),8,Törzsőrmester ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Középvállalkozás (50–249 fő),Állami-közszféra,Közféra,7,6,7,7,7,7,5,2,7,7,5,7,6,2,1,1
28/07/2026 22:18:52,51,Nő,3980,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",4,Őrnagy,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,700000,Kisvállalkozás (10–49 fő),Állami-közszféra,Oktatási intézmény,7,7,7,4,7,4,6,4,6,7,7,3,5,4,2,3
28/07/2026 23:02:47,47,Nő,3563,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",5,Főhadnagy ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,850000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,BT (Betéti társaság),7,7,7,7,7,5,6,3,6,6,6,1,4,4,5,4
28/07/2026 23:06:23,40,Nő,3553,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Szakaszvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,550000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),7,5,7,5,4,5,3,3,7,7,7,7,5,4,3,3
28/07/2026 23:12:46,19,Férfi,3700,Érettségi (középiskola),1,Szakaszvezető,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Alkalmazott / (Köz) Foglalkoztatott / Segítő,380000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,4,7,4,5,7,7,4,7,7,4,4,7,1,3,5
28/07/2026 23:26:20,49,Nő,3580,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Zászlós,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,468000,Nagyvállalat (250+ fő),Állami-közszféra,Közszféra,7,4,4,7,5,5,7,4,6,7,5,5,6,5,5,4
29/07/2026 02:07:47,41,Férfi,3528,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",2,Főtörzsőrmester,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Társas vállalkozó,1200000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,7,7,1,4,7,7,7,7,3,7,1,1,1
29/07/2026 04:27:00,49,Férfi,4511,Szakiskola / Szakmunkásképző,1,Szakaszvezető ,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,500000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,5,7,1,5,1,5,7,7,7,6,2,1,1
29/07/2026 04:35:54,21,Férfi,4234,Érettségi (középiskola),2,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,0,,,,7,7,7,4,6,7,1,3,4,5,1,3,7,4,3,1
29/07/2026 05:09:34,50,Férfi,4400,Érettségi (középiskola),2,Szakaszvezető,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Alkalmazott / (Köz) Foglalkoztatott / Segítő,200000,Nagyvállalat (250+ fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),7,7,7,5,7,5,5,4,7,7,5,7,6,5,5,6
29/07/2026 05:16:24,38,Férfi,3636,Érettségi (középiskola),3,Szakaszvezető,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Egyéni vállalkozó,850000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,EV (Egyéni vállalkozó),7,7,7,7,7,7,4,7,7,7,7,4,4,7,7,4
29/07/2026 05:49:33,63,Férfi,1048,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",40,Alezredes,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Inaktív,0,Kisvállalkozás (10–49 fő),Magyar tulajdonú,Egyesület,7,7,7,4,4,6,5,4,6,6,2,4,6,6,6,7
29/07/2026 06:23:12,49,Nő,4400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",5,Őrnagy,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,580000,Középvállalkozás (50–249 fő),Állami-közszféra,,7,7,7,7,5,6,6,6,6,7,4,6,3,2,1,1
29/07/2026 06:25:05,28,Férfi,4482,Szakiskola / Szakmunkásképző,5,Szakaszvezető ,"Láttam már, vagy hallottam róluk a médiában / környezetemben",Munkanélküli,300000,Mikrovállalkozás (1–9 fő),Magyar tulajdonú,,5,7,7,6,5,3,2,2,7,7,7,7,6,1,1,3
29/07/2026 06:33:47,32,Férfi,3664,Szakiskola / Szakmunkásképző,2,Szakaszvezető,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,400000,Nagyvállalat (250+ fő),Külföldi tulajdonú / Nemzetközi (multi),KFT (Korlátolt felelősségű társaság),5,7,5,4,7,7,7,5,4,4,5,6,6,6,6,6
29/07/2026 07:00:19,49,Nő,4405,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",3,Szakaszvezető ,Soha nem találkoztam / nem foglalkoztam velük,Alkalmazott / (Köz) Foglalkoztatott / Segítő,500000,Nagyvállalat (250+ fő),Magyar tulajdonú,Egyesület ,6,6,5,5,6,6,6,6,6,6,6,6,5,6,5,5
29/07/2026 07:30:39,61,Nő,4400,"Felsőfokú végzettség (diploma, BSc/BA, MSc/MA)",3,Szakaszvezető,Soha nem találkoztam / nem foglalkoztam velük,Alkalmazott / (Köz) Foglalkoztatott / Segítő,415000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,BT (Betéti társaság),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
29/07/2026 08:11:45,26,Férfi,3450,Érettségi (középiskola),7,Őrmester,Rendszeresen használok drónt (pl. hobby vagy munka céljából),Egyéni vállalkozó,935000,Kisvállalkozás (10–49 fő),Magyar tulajdonú,KFT (Korlátolt felelősségű társaság),6,5,6,5,7,5,6,6,6,5,1,1,7,6,6,6
29/07/2026 08:58:28,47,Férfi,4025,Érettségi (középiskola),27,Főtörzsőrmester,Kezeltem már drónt rövidebb ideig (pl. ismerősnél),Alkalmazott / (Köz) Foglalkoztatott / Segítő,1,Nagyvállalat (250+ fő),Állami-közszféra,MH,4,1,3,1,7,6,4,7,1,7,1,7,7,1,1,7
